"Date","Price","Open","High","Low","Change %"
"10/27/2023","3.007","3.007","3.007","3.007","-0.99%"
"10/26/2023","3.037","3.037","3.037","3.037","0.51%"
"10/25/2023","3.022","3.022","3.022","3.022","0.52%"
"10/24/2023","3.006","3.051","3.051","3.006","-0.96%"
"10/23/2023","3.035","3.035","3.035","3.035","0.07%"
"10/20/2023","3.033","3.033","3.033","3.033","-0.91%"
"10/19/2023","3.061","3.061","3.061","3.061","0.49%"
"10/18/2023","3.046","3.046","3.046","3.046","0.48%"
"10/17/2023","3.032","3.072","3.072","3.032","-0.88%"
"10/16/2023","3.059","3.059","3.059","3.059","0.08%"
"10/13/2023","3.056","3.056","3.056","3.056","-0.81%"
"10/12/2023","3.081","3.081","3.081","3.081","0.46%"
"10/11/2023","3.067","3.067","3.067","3.067","1.07%"
"10/10/2023","3.034","3.034","3.034","3.034","-0.80%"
"10/09/2023","3.059","3.021","3.059","3.021","1.29%"
"10/06/2023","3.020","3.020","3.020","3.020","0.42%"
"10/05/2023","3.007","3.044","3.044","3.007","-0.79%"
"10/04/2023","3.032","3.068","3.068","3.032","-1.91%"
"10/03/2023","3.091","3.126","3.126","3.091","-0.74%"
"10/02/2023","3.114","3.184","3.184","3.114","-2.06%"
"09/29/2023","3.179","3.179","3.179","3.179","0.00%"
"09/28/2023","3.179","3.179","3.179","3.179","0.00%"
"09/27/2023","3.179","3.145","3.179","3.145","1.24%"
"09/26/2023","3.140","3.140","3.140","3.140","-0.66%"
"09/25/2023","3.161","3.161","3.161","3.161","0.67%"
"09/22/2023","3.140","3.140","3.140","3.140","0.38%"
"09/21/2023","3.128","3.128","3.128","3.128","-0.64%"
"09/20/2023","3.148","3.148","3.148","3.148","0.37%"
"09/19/2023","3.136","3.136","3.136","3.136","0.38%"
"09/18/2023","3.125","3.156","3.156","3.125","-0.87%"
"09/15/2023","3.152","3.152","3.152","3.152","0.37%"
"09/14/2023","3.141","3.141","3.141","3.141","-0.60%"
"09/13/2023","3.159","3.159","3.159","3.159","-5.66%"
"09/08/2023","3.349","3.349","3.349","3.349","13.68%"
"09/07/2023","2.946","2.946","2.946","2.946","-14.36%"
"09/06/2023","3.440","3.440","3.440","3.440","9.00%"
"09/05/2023","3.156","3.156","3.156","3.156","-9.31%"
"09/04/2023","3.480","3.480","3.480","3.480","10.79%"
"09/01/2023","3.141","3.141","3.141","3.141","4.23%"
"08/31/2023","3.013","3.013","3.013","3.013","-6.24%"
"08/30/2023","3.214","3.214","3.214","3.214","3.68%"
"08/29/2023","3.100","3.100","3.100","3.100","3.21%"
"08/28/2023","3.003","3.003","3.003","3.003","-6.53%"
"08/25/2023","3.214","3.214","3.214","3.214","2.62%"
"08/24/2023","3.132","3.132","3.132","3.132","-3.71%"
"08/23/2023","3.252","3.252","3.252","3.252","2.39%"
"08/22/2023","3.176","3.176","3.176","3.176","0.00%"
"08/21/2023","3.176","3.176","3.176","3.176","-2.08%"
"08/18/2023","3.243","3.243","3.243","3.243","1.90%"
"08/17/2023","3.183","3.183","3.183","3.183","1.76%"
"08/16/2023","3.128","3.128","3.128","3.128","-0.52%"
"08/15/2023","3.145","3.145","3.145","3.145","0.00%"
"08/14/2023","3.145","3.145","3.145","3.145","2.03%"
"08/11/2023","3.082","3.082","3.082","3.082","-2.33%"
"08/10/2023","3.155","3.155","3.155","3.155","1.38%"
"08/09/2023","3.112","3.112","3.112","3.112","-2.14%"
"08/08/2023","3.181","3.181","3.181","3.181","1.31%"
"08/07/2023","3.139","3.139","3.139","3.139","0.43%"
"08/04/2023","3.126","3.126","3.126","3.126","-1.85%"
"08/03/2023","3.185","3.185","3.185","3.185","1.16%"
"08/02/2023","3.148","3.148","3.148","3.148","1.09%"
"08/01/2023","3.115","3.115","3.115","3.115","-1.75%"
"07/31/2023","3.170","3.170","3.170","3.170","1.75%"
"07/28/2023","3.115","3.115","3.115","3.115","0.97%"
"07/27/2023","3.086","3.086","3.086","3.086","-1.58%"
"07/26/2023","3.135","3.135","3.135","3.135","0.92%"
"07/25/2023","3.106","3.106","3.106","3.106","-1.51%"
"07/24/2023","3.154","3.154","3.154","3.154","0.33%"
"07/21/2023","3.144","3.144","3.144","3.144","0.87%"
"07/20/2023","3.116","3.116","3.116","3.116","0.00%"
"07/19/2023","3.116","3.116","3.116","3.116","-0.56%"
"07/18/2023","3.134","3.134","3.134","3.134","-1.29%"
"07/17/2023","3.175","3.175","3.175","3.175","0.32%"
"07/14/2023","3.165","3.165","3.165","3.165","0.75%"
"07/13/2023","3.141","3.141","3.141","3.141","-1.18%"
"07/12/2023","3.179","3.179","3.179","3.179","0.74%"
"07/11/2023","3.155","3.155","3.155","3.155","1.68%"
"07/10/2023","3.103","3.103","3.103","3.103","-1.60%"
"07/07/2023","3.154","3.154","3.154","3.154","0.69%"
"07/06/2023","3.132","3.132","3.132","3.132","-1.09%"
"07/05/2023","3.167","3.167","3.167","3.167","0.67%"
"07/04/2023","3.146","3.146","3.146","3.146","0.64%"
"07/03/2023","3.126","3.179","3.179","3.126","-1.67%"
"06/30/2023","3.179","3.179","3.179","3.179","0.00%"
"06/29/2023","3.179","3.179","3.179","3.179","-0.09%"
"06/28/2023","3.182","3.182","3.182","3.182","0.62%"
"06/27/2023","3.162","3.162","3.162","3.162","-0.94%"
"06/26/2023","3.193","3.193","3.193","3.193","-1.19%"
"06/23/2023","3.231","3.231","3.231","3.231","1.30%"
"06/22/2023","3.190","3.190","3.190","3.190","0.55%"
"06/21/2023","3.172","3.217","3.217","3.172","-2.22%"
"06/20/2023","3.244","3.244","3.244","3.244","0.54%"
"06/19/2023","3.227","3.227","3.227","3.227","0.28%"
"06/16/2023","3.217","3.217","3.217","3.217","0.53%"
"06/15/2023","3.201","3.201","3.201","3.201","-0.79%"
"06/14/2023","3.226","3.184","3.226","3.184","0.51%"
"06/13/2023","3.210","3.210","3.210","3.210","0.50%"
"06/12/2023","3.194","3.194","3.194","3.194","0.22%"
"06/09/2023","3.187","3.187","3.187","3.187","-0.75%"
"06/08/2023","3.211","3.171","3.211","3.171","0.49%"
"06/07/2023","3.195","3.195","3.195","3.195","0.46%"
"06/06/2023","3.181","3.181","3.181","3.181","-0.72%"
"06/05/2023","3.204","3.204","3.204","3.204","0.79%"
"06/02/2023","3.178","3.178","3.178","3.178","-0.69%"
"06/01/2023","3.201","3.201","3.201","3.201","0.44%"
"05/31/2023","3.187","3.187","3.187","3.187","0.43%"
"05/30/2023","3.173","3.208","3.208","3.173","-0.67%"
"05/29/2023","3.194","3.194","3.194","3.194","-96.79%"
"05/26/2023","99.550","3.189","3.189","3.189","3,034.94%"
"05/25/2023","3.175","3.175","3.175","3.175","-0.66%"
"05/24/2023","3.197","3.197","3.197","3.197","-0.62%"
"05/23/2023","3.217","3.217","3.217","3.217","0.41%"
"05/22/2023","3.204","3.237","3.237","3.204","-0.84%"
"05/19/2023","3.230","3.230","3.230","3.230","0.40%"
"05/18/2023","3.217","3.217","3.217","3.217","-0.11%"
"05/17/2023","3.221","3.174","3.221","3.174","0.88%"
"05/16/2023","3.193","3.193","3.193","3.193","-0.58%"
"05/15/2023","3.211","3.211","3.211","3.211","0.17%"
